Ticker,ArticlesUrls,ArticlesSentimentScores,ConnectedTickers,ConnectedFrequency,LinkingArticlesUrls,LinkingArticlesSentimentScores
MQ,"['https://www.marketbeat.com/instant-alerts/nasdaq-mq-options-data-report-2023-03-31/', 'https://www.tipranks.com/news/marqeta-shares-hit-by-onslaught-of-terrible-news', 'https://seekingalpha.com/news/3951546-marqeta-rallies-on-wolfe-upgrade-to-outperform-citing-valuation', 'https://www.fool.com/investing/2023/01/31/why-marqeta-stock-rocked-3-higher-today/', 'https://www.investorsobserver.com/news/stock-update/is-marqeta-inc-mq-stock-worth-a-buy-thursday-2', 'https://www.benzinga.com/news/earnings/23/03/31125849/marqeta-stock-is-trading-down-today-whats-going-on', 'https://simplywall.st/stocks/us/software/nasdaq-mq/marqeta/news/marqeta-nasdaqmq-shareholders-have-endured-a-51-loss-from-in', 'https://finance.yahoo.com/news/marqeta-nasdaq-mq-investor-one-161259460.html', 'https://www.fool.com/investing/2023/03/08/is-marqeta-stock-a-buy-right-now/', 'https://seekingalpha.com/news/3942221-marqeta-stock-tumbles-as-year-sales-growth-guidance-disappoints', 'https://www.marketbeat.com/instant-alerts/nasdaq-mq-consensus-analyst-rating-2023-03-23/', 'https://www.investorsobserver.com/news/stock-update/how-does-marqeta-inc-mq-stock-rank-on-wall-street-wednesday', 'https://www.benzinga.com/news/earnings/23/02/31106242/whats-going-on-with-marqeta-stock-after-hours', 'https://www.fool.com/investing/2023/02/03/why-marqeta-stock-rose-8-this-week/', 'https://seekingalpha.com/news/3942571-marqeta-stock-plummets-20-as-jp-morgan-moves-to-sideline-on-poor-outlook', 'https://www.investorsobserver.com/news/stock-update/should-you-buy-marqeta-inc-mq-stock-after-it-is-down-6-58-in-a-week', 'https://seekingalpha.com/article/4583610-marqeta-stock-market-overreaction-undervalued-intrinsically', 'https://www.investorsobserver.com/news/stock-update/should-you-buy-marqeta-inc-mq-stock-after-it-is-lower-by-24-71-in-a-week', 'https://www.fool.com/investing/2023/02/16/heres-why-marqeta-can-be-a-long-term-winner-10/', 'https://seekingalpha.com/article/4566121-marqeta-first-mover-advantage-growing-industry-stock-priced-in']","[4.160762352941176, -3.7118128571428564, 6.5, 4.557016666666667, 5.743816666666666, -0.8391600000000001, -4.3740049999999995, 3.402034, -0.5549599999999998, -6.5, 0.3957724999999999, 0.13731199999999993, 2.8703866666666666, -0.30640599999999996, -6.54204, -2.133088, 0.7500350000000002, -1.989534285714286, 6.050374999999999, 2.714043333333333]","['AMZN', 'SQ', 'UBER', 'DASH', 'JPM']","[1, 2, 1, 1, 1]",[],[]
GILD,"['https://www.marketwatch.com/data-news/gilead-sciences-inc-stock-rises-friday-outperforms-market-d39451be-47c67b75806e', 'https://finance.yahoo.com/news/investors-more-bullish-gilead-sciences-120038350.html', 'https://seekingalpha.com/article/4591250-gilead-sciences-dont-be-scared-post-run-up?source=content_type%3Areact%7Csection_asset%3Arelated-analysis%7Csection%3Aright_rail%7Cfirst_level_url%3Aarticle%7Cline%3A1%7Cpos%3Aundefined', 'https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-gild/gilead-sciences/news/gilead-sciences-incs-nasdaqgild-large-institutional-owners-m', 'https://www.marketscreener.com/quote/stock/GILEAD-SCIENCES-INC-4876/', 'https://www.marketbeat.com/instant-alerts/nasdaq-gild-consensus-analyst-rating-2023-03-31/', 'https://www.fool.com/investing/2022/12/08/is-gilead-sciences-a-buy/', 'https://www.marketwatch.com/data-news/gilead-sciences-inc-stock-rises-thursday-still-underperforms-market-a4936128-e6cd811495ab', 'https://finance.yahoo.com/news/gilead-sciences-gild-gains-market-215009186.html', 'https://www.marketbeat.com/instant-alerts/nasdaq-gild-sec-filing-2023-03-28/', 'https://www.fool.com/investing/2023/02/06/is-gilead-sciences-a-good-stock-to-buy-now/', 'https://www.marketwatch.com/data-news/gilead-sciences-inc-stock-rises-wednesday-still-underperforms-market-c454e8cd-a58d8ebb0f64', 'https://finance.yahoo.com/news/gilead-sciences-nasdaq-gild-seems-110050898.html', 'https://www.marketbeat.com/instant-alerts/nasdaq-gild-sec-filing-2023-03-31/', 'https://www.fool.com/investing/2022/12/29/this-new-drug-could-be-gilead-sciences-growth-cata/', 'https://www.marketwatch.com/data-news/gilead-sciences-inc-stock-outperforms-market-on-strong-trading-day-b353d85b-2718d05ed234', 'https://finance.yahoo.com/news/gilead-sciences-gild-gains-lags-214509140.html', 'https://www.marketbeat.com/instant-alerts/nasdaq-gild-sec-filing-2023-03-29/', 'https://www.marketwatch.com/data-news/gilead-sciences-inc-stock-falls-monday-underperforms-market-23ecc5ca-7e08778151a2', 'https://finance.yahoo.com/news/gilead-gild-gains-34-12-161004090.html']","[4.038133333333334, 5.55391, 3.952925, -1.2484099999999998, 0, 2.1176000000000004, 4.958600000000001, 4.038133333333334, 3.66281, 1.7806717647058825, 5.64723, 4.038133333333334, -0.6115375, 1.722387777777778, 0.5901, 5.110393333333334, 0.013960000000000417, 2.222128235294118, 0.13813333333333336, 0]","['ABT', 'AMZN', 'BAC', 'SOFI', 'WFC', 'PFE']","[5, 2, 2, 0, 2, 0]",[],[]
BK,"['https://seekingalpha.com/article/4591240-bny-mellon-shares-near-fair-value-bank-earnings-season?source=content_type%3Areact%7Csection_asset%3Arelated-analysis%7Csection%3Aright_rail%7Cfirst_level_url%3Aarticle%7Cline%3A1%7Cpos%3Aundefined', 'https://www.marketwatch.com/data-news/bank-of-new-york-mellon-corp-stock-rises-friday-still-underperforms-market-bb9c0943-f69d8b0df889', 'https://www.marketbeat.com/instant-alerts/nyse-bk-sec-filing-2023-03-31/', 'https://finance.yahoo.com/news/bank-york-mellon-corporation-bk-154503119.html', 'https://www.investorsobserver.com/news/stock-update/should-you-accumulate-bank-of-new-york-mellon-corp-bk-stock-monday-morning', 'https://www.businesswire.com/news/home/20230330005771/en/BNY-Mellon-Municipal-Bond-Closed-End-Funds-Declare-Distributions', 'https://www.marketwatch.com/data-news/bank-of-new-york-mellon-corp-stock-falls-thursday-underperforms-market-cc9b39d5-926d56bd3478', 'https://finance.yahoo.com/news/heres-why-bank-york-mellon-135501703.html', 'https://www.marketbeat.com/instant-alerts/nyse-sitc-sec-filing-2023-03-30/', 'https://www.marketwatch.com/data-news/bank-of-new-york-mellon-corp-stock-outperforms-competitors-on-strong-trading-day-db5b80a6-23726a75283c', 'https://finance.yahoo.com/news/bny-mellon-alcentra-global-credit-210900944.html', 'https://www.marketbeat.com/instant-alerts/nyse-hl-sec-filing-2023-03-31/', 'https://www.marketwatch.com/data-news/bank-of-new-york-mellon-corp-stock-outperforms-competitors-on-strong-trading-day-ac5cb030-81cb18e7c7ce', 'https://www.marketbeat.com/instant-alerts/nasdaq-mdrx-sec-filing-2023-03-31/', 'https://finance.yahoo.com/news/bank-york-mellon-corporation-bk-160004765.html', 'https://www.marketbeat.com/instant-alerts/nyse-vsco-sec-filing-2023-03-31/', 'https://www.marketwatch.com/data-news/bank-of-new-york-mellon-corp-stock-falls-wednesday-underperforms-market-8ec7afd8-4c9beab88b71', 'https://finance.yahoo.com/news/bank-york-mellon-corporation-bk-221510165.html', 'https://www.marketbeat.com/instant-alerts/nasdaq-laur-sec-filing-2023-03-31/', 'https://beststocks.com/bank-of-new-york-mellon-corps-strategic-investmen/']","[-1.20431, 4.1072, 4.94004125, 7.258559999999999, -0.053088, 0, 0.20720000000000002, 6.003943333333333, 0.079205, 5.110393333333334, 0, 0.0, 5.110393333333334, 0.6673800000000001, 7.898111666666667, 0.0, 0.20720000000000002, -3.5825000000000005, 0.15841, 9.03281]","['BAC', 'WFC', 'TFC', 'JPM', 'HL', 'BCS', 'SOFI']","[0, 5, 0, 2, 0, 0, 2]","['https://www.marketbeat.com/instant-alerts/nyse-elan-sec-filing-2023-03-27/', 'https://www.marketbeat.com/instant-alerts/nyse-nee-sec-filing-2023-03-31/', 'https://www.marketbeat.com/instant-alerts/nyse-bsx-sec-filing-2023-03-31/']","[0.8288000000000001, 1.81608, 2.0804]"
UAA,"['https://www.marketwatch.com/data-news/under-armour-inc-cl-a-stock-rises-thursday-still-underperforms-market-c72ad01b-35fa6350a68a', 'https://www.tipranks.com/news/under-armour-gains-slightly-on-new-steph-curry-deal', 'https://www.cnbc.com/2023/03/30/steph-curry-under-armour-partnership.html', 'https://www.marketbeat.com/instant-alerts/nyse-ua-options-data-report-2023-03-29/', 'https://simplywall.st/stocks/us/consumer-durables/nyse-uaa/under-armour/news/under-armour-nyseuaa-shareholders-incur-further-losses-as-st', 'https://www.fool.com/investing/2023/02/10/why-under-armour-stock-tumbled-this-week/', 'https://beststocks.com/under-armour-shares-experience-decrease-in-short-i/', 'https://seekingalpha.com/article/4585335-under-armour-bargain-bin', 'https://abcnews.go.com/Sports/stephen-curry-signs-new-long-term-armour-agreement/story?id=98233684', 'https://finance.yahoo.com/video/nba-star-steph-curry-extends-195428912.html', 'https://www.marketwatch.com/data-news/under-armour-inc-cl-a-stock-outperforms-market-on-strong-trading-day-b02de08d-025858497da1', 'https://www.foxbusiness.com/markets/under-armours-new-ceo-met-depressed-stock', 'https://www.fool.com/investing/2022/11/03/why-under-armour-stock-jumped-today/', 'https://seekingalpha.com/news/3946747-under-armour-is-clipped-to-a-neutral-rating-at-jp-morgan', 'https://beststocks.com/stephen-curry-signs-lucrative-lifetime-deal-w/', 'https://www.marketbeat.com/instant-alerts/nyse-uaa-sec-filing-2023-03-28/', 'https://www.marketwatch.com/data-news/under-armour-inc-cl-a-stock-outperforms-market-on-strong-trading-day-a7ed59fe-ee997dbad7c3', 'https://seekingalpha.com/news/3916298-why-did-under-armour-stock-surge-on-monday-a-key-analyst-upgrade', 'https://www.marketwatch.com/data-news/under-armour-inc-cl-a-stock-outperforms-competitors-on-strong-trading-day-d0ea6968-5febd9da4a9d', 'https://www.marketwatch.com/data-news/under-armour-inc-cl-a-stock-outperforms-competitors-on-strong-trading-day-6b78273a-a558fedb9089']","[4.1072, 6.226866666666667, 1.1025385714285714, 1.070537142857143, -5.967866, -6.5168, 9.572299999999998, 0.3102379999999999, 3.474258333333334, 1.2370800000000002, 5.179460000000001, 1.631472, 0.13957666666666713, -2.2278100000000003, 5.9646925, 0.9051328571428571, 5.179460000000001, 7.431560000000001, 5.179460000000001, 5.179460000000001]","['NKE', 'META', 'WBA', 'DKS', 'WFC']","[8, 0, 0, 0, 0]",[],[]
NWL,"['https://simplywall.st/stocks/us/consumer-durables/nasdaq-nwl/newell-brands/news/newell-brands-nasdaqnwl-earnings-and-shareholder-returns-hav', 'https://www.investorsobserver.com/news/stock-update/premarket-mover-newell-brands-inc-nwl-up-0-50', 'https://www.marketwatch.com/data-news/newell-brands-inc-stock-outperforms-market-on-strong-trading-day-ddb3ce48-86cd1cb7d174', 'https://finance.yahoo.com/news/now-opportune-moment-examine-newell-112522202.html', 'https://seekingalpha.com/news/3944605-why-did-newell-brands-stock-drop-today-near-term-challenges-look-daunting', 'https://www.marketbeat.com/instant-alerts/nasdaq-nwl-sec-filing-2023-03-29/', 'https://www.barrons.com/articles/seagen-and-newell-brands-stock-see-action-from-activist-investors-db648', 'https://www.marketwatch.com/data-news/newell-brands-inc-stock-falls-thursday-underperforms-market-aab4fede-0d9ccc26ff71', 'https://www.marketscreener.com/quote/stock/NEWELL-BRANDS-INC-47564184/news/NEWELL-BRANDS-INC-Entry-into-a-Material-Definitive-Agreement-Creation-of-a-Direct-Financial-Obli-43394843/', 'https://news.stocktradersdaily.com/news_release/8/Newell+Brands+Inc+NWL+Investment+Report_032923041502.html', 'https://seekingalpha.com/news/3948082-newell-brands-slips-after-carl-icahn-lightens-stake', 'https://simplywall.st/stocks/us/consumer-durables/nasdaq-nwl/newell-brands/news/brett-icahn-is-the-independent-director-of-newell-brands-inc', 'https://www.marketwatch.com/data-news/newell-brands-inc-stock-outperforms-competitors-on-strong-trading-day-ca73773b-556eaf4480b5', 'https://seekingalpha.com/article/4590993-high-yield-means-high-risk-stocks-with-serious-warning-signs', 'https://www.marketwatch.com/data-news/newell-brands-inc-stock-outperforms-market-on-strong-trading-day-bd7447ad-954a5d4b61db', 'https://seekingalpha.com/news/3947098-newell-brands-up-4-after-cfo-buys-stock-worth-990k', 'https://www.marketwatch.com/data-news/newell-brands-inc-stock-outperforms-competitors-on-strong-trading-day-2dcb5a3c-5baa9187c979', 'https://seekingalpha.com/article/4585932-newell-poor-performer-facing-headwinds', 'https://www.marketwatch.com/data-news/newell-brands-inc-stock-underperforms-thursday-when-compared-to-competitors-71e13969-4a5f28c2ac07', 'https://www.marketwatch.com/data-news/newell-brands-inc-stock-underperforms-monday-when-compared-to-competitors-18bcde6-dadc0ba875f7']","[-4.375984, 5.78364, 5.38666, 2.469993333333333, -8.03979, 0.23669999999999997, 0.0, 0.20720000000000002, 1.3620599999999998, 0.0, -1.6468800000000003, -0.22038000000000002, 5.179460000000001, -0.10054166666666677, 5.179460000000001, 7.29205, 5.179460000000001, 0, 0.20720000000000002, -3.6928]","['AMZN', 'BCS', 'FITB', 'PG', 'JPM', 'SQ']","[0, 0, 0, 6, 0, 0]",[],[]
CPNG,"['https://www.investorsobserver.com/news/stock-update/is-it-time-to-dump-coupang-inc-cpng-stock-after-it-has-gained-9-35-in-a-week', 'https://finance.yahoo.com/news/coupang-inc-cpng-stock-sinks-221510757.html', 'https://www.marketscreener.com/quote/stock/COUPANG-INC-119962175/', 'https://www.investorsobserver.com/news/stock-update/what-is-wall-streets-target-price-for-coupang-inc-cpng-stock-thursday-2', 'https://finance.yahoo.com/news/coupang-inc-cpng-outpaces-stock-220010536.html', 'https://seekingalpha.com/article/4587882-coupang-stock-strong-moat-overpriced', 'https://www.fool.com/investing/2023/03/06/coupang-stock-is-down-70-from-its-high-time-to-buy/', 'https://simplywall.st/stocks/us/retail/nyse-cpng/coupang/news/is-now-the-time-to-look-at-buying-coupang-inc-nysecpng', 'https://seekingalpha.com/news/3942114-coupang-stock-slides-on-revenue-miss', 'https://www.investorsobserver.com/news/stock-update/should-you-sell-coupang-inc-cpng-stock-tuesday-morning-3', 'https://simplywall.st/stocks/us/retail/nyse-cpng/coupang/news/coupang-inc-nysecpng-insiders-sold-us16m-worth-of-stock-poss', 'https://finance.yahoo.com/news/coupang-inc-cpng-stock-sinks-230011654.html', 'https://www.investorsobserver.com/news/stock-update/premarket-mover-coupang-inc-cpng-down-0-89', 'https://seekingalpha.com/article/4582415-coupang-stock-earnings-preview-what-to-watch-for', 'https://finance.yahoo.com/news/coupang-inc-cpng-stock-moves-220010305.html', 'https://www.investorsobserver.com/news/stock-update/should-you-accumulate-coupang-inc-cpng-stock-friday-morning-3', 'https://www.investorsobserver.com/news/stock-update/is-coupang-inc-cpng-stock-worth-a-buy-tuesday', 'https://www.investorsobserver.com/news/stock-update/what-is-the-markets-view-on-coupang-inc-cpng-stocks-price-and-volume-trends-monday', 'https://www.investorsobserver.com/news/stock-update/should-internet-retail-stock-coupang-inc-cpng-be-in-your-portfolio-monday-2', 'https://www.investorsobserver.com/news/stock-update/where-does-wall-street-think-coupang-inc-cpng-stock-will-go']","[2.2407200000000005, 0, 0, 2.1650933333333335, 0, 5.7475, -3.6847949999999994, 0.26285000000000025, -7.03585, -1.8218133333333337, 0.42295166666666656, 0, -6.058933333333334, 1.312802857142857, 0, -1.964706666666667, 5.6829633333333325, -2.33536, 2.239293333333334, 0.06367199999999988]","['JD', 'AMZN', 'EBAY']","[1, 2, 1]",[],[]
BAX,"['https://www.marketwatch.com/data-news/baxter-international-inc-stock-rises-friday-still-underperforms-market-6317e54a-f1bc2d92c504', 'https://www.marketscreener.com/quote/stock/BAXTER-INTERNATIONAL-INC-11763/news/Baxter-International-to-Cut-Jobs-Simplify-Operating-Model-Shares-Down-42946004/', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-falls-thursday-underperforms-market-1410d5dc-8deaff01a9ab', 'https://www.fool.com/investing/2023/02/09/why-baxter-international-stock-is-sinking-today/', 'https://simplywall.st/stocks/us/healthcare/nyse-bax/baxter-international/news/baxter-international-nysebax-investor-one-year-losses-grow-t', 'https://beststocks.com/appleton-partners-inc-decreases-position-in-baxte/', 'https://www.nasdaq.com/articles/baxter-international-inc.-shares-close-in-on-52-week-low-market-mover-1', 'https://www.investorsobserver.com/news/stock-update/is-baxter-international-inc-bax-stock-a-smart-investment-friday-2', 'https://seekingalpha.com/news/3934245-bax-stock-falls-guidance-underwhelms-amid-macro-pressures', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-falls-tuesday-underperforms-market-3d06caf-0df935234666', 'https://www.fool.com/investing/2023/02/10/why-baxter-international-stock-sank-by-12-this-wee/', 'https://simplywall.st/stocks/us/healthcare/nyse-bax/baxter-international/news/with-90-institutional-ownership-baxter-international-inc-nys', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-outperforms-competitors-on-strong-trading-day-74d75c39-74f81fdae97a', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-outperforms-competitors-despite-losses-on-the-day-a15913bc-e83352b3caa8', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-falls-thursday-still-outperforms-market-46e13ebb-f35d029e2d61', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-outperforms-competitors-on-strong-trading-day-bf2fe6e4-c97a2b1a14e7', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-outperforms-competitors-on-strong-trading-day-31e60e2d-4ea276df408b', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-rises-wednesday-outperforms-market-e2c7ef86-b47238c6103c', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-falls-monday-underperforms-market-beed8cd3-25f3e93e38a0', 'https://www.marketwatch.com/data-news/baxter-international-inc-stock-falls-thursday-underperforms-market-95c0df10-78c2e6345f99']","[4.1072, -6.4097, 0.20720000000000002, -1.5413999999999999, 1.3858166666666667, 0.07251400000000005, 0.09029999999999999, 2.64591, 0, 0.20720000000000002, -0.9248399999999999, 4.60086, 5.179460000000001, 4.75589, 4.1072, 5.179460000000001, 5.179460000000001, 4.1072, 0.20720000000000002, 0.20720000000000002]","['MDT', 'WFC']","[11, 0]",[],[]
NTNX,"['https://beststocks.com/nutanix-inc-earns-favorable-reputation-for-cloud-b/', 'https://www.benzinga.com/news/earnings/23/03/31226302/why-nutanix-stock-is-falling-after-hours', 'https://simplywall.st/stocks/us/software/nasdaq-ntnx/nutanix/news/the-past-five-years-for-nutanix-nasdaqntnx-investors-has-not', 'https://www.prnewswire.com/news-releases/nutanix-investor-alert-securities-litigation-partner-james-josh-wilson-encourages-investors-who-suffered-losses-exceeding-50-000-in-nutanix-to-contact-him-directly-to-discuss-their-options-301787586.html', 'https://www.tipranks.com/news/nutanix-nasdaqntnx-stock-slides-despite-stellar-q2-results', 'https://www.businesswire.com/news/home/20230315005944/en/The-Law-Offices-of-Frank-R.-Cruz-Continues-Investigation-of-Nutanix-Inc.-NTNX-on-Behalf-of-Investors', 'https://www.marketscreener.com/quote/stock/NUTANIX-INC-31497437/news/Nutanix-Reports-Higher-Preliminary-Q2-Revenue-Issues-Guidance-43173738/', 'https://www.fool.com/investing/2022/12/23/why-nutanix-was-plunging-today/', 'https://seekingalpha.com/news/3944806-nutanix-tumbles-q2-sales-top-estimates', 'https://finance.yahoo.com/news/nutanix-nasdaq-ntnx-shareholders-endured-123623750.html', 'https://www.marketwatch.com/story/nutanix-stock-falls-as-early-results-top-expectations-9a8033a0', 'https://www.investorsobserver.com/news/stock-update/should-you-hold-nutanix-inc-ntnx-stock-wednesday-morning', 'https://www.barrons.com/articles/nutanix-earnings-stock-51662042775', 'https://www.businesswire.com/news/home/20230316005605/en/Glancy-Prongay-Murray-LLP-a-Leading-Securities-Fraud-Law-Firm-Continues-Investigation-of-Nutanix-Inc.-NTNX-on-Behalf-of-Investors', 'https://www.investorsobserver.com/news/stock-update/nutanix-inc-down-8-81-to-26-46-after-earnings', 'https://simplywall.st/stocks/us/software/nasdaq-ntnx/nutanix/news/after-losing-81-in-the-past-year-nutanix-inc-nasdaqntnx-inst', 'https://www.investorsobserver.com/news/stock-update/is-nutanix-inc-ntnx-stock-at-the-top-of-the-software-infrastructure-industry-4', 'https://simplywall.st/stocks/us/software/nasdaq-ntnx/nutanix/news/at-us2809-is-nutanix-inc-nasdaqntnx-worth-looking-at-closely', 'https://www.businesswire.com/news/home/20230309005804/en/NUTANIX-ALERT-Bragar-Eagel-Squire-P.C.-is-Investigating-Nutanix-Inc.-on-Behalf-of-Nutanix-Stockholders-and-Encourages-Investors-to-Contact-the-Firm', 'https://finance.yahoo.com/news/options-traders-know-something-nutanix-133001601.html']","[8.412998, 1.721013333333333, -2.705462857142857, -1.3247100000000003, -0.42681999999999976, 0, 6.5, -4.449589999999999, -5.79195, -2.958736666666666, -3.0607699999999998, -2.2667333333333333, 6.071536666666667, 0, -1.5388599999999997, -0.91262, 1.120167142857143, 0.07214666666666687, 0, 0.7041650000000002]","['BCS', 'WFC', 'HPQ', 'AMZN']","[1, 1, 1, 1]",[],[]
AA,"['https://finance.yahoo.com/news/alcoa-aa-stock-sinks-market-220010552.html', 'https://www.zacks.com/stock/news/2073376/alcoa-(aa)-outpaces-stock-market-gains:-what-you-should-know', 'https://seekingalpha.com/article/4583428-alcoa-aa-stok-buy-3-catalysts-near-term', 'https://www.marketbeat.com/instant-alerts/nyse-aa-sec-filing-2023-03-31/', 'https://simplywall.st/stocks/us/materials/nyse-aa/alcoa/news/institutional-investors-may-adopt-severe-steps-after-alcoa-c', 'https://beststocks.com/alcoa-co-a-consistent-player-in-the-industrial-p/', 'https://www.investorsobserver.com/news/stock-update/should-you-buy-alcoa-corp-aa-stock-monday-morning', 'https://www.bloomberg.com/news/articles/2022-10-19/alcoa-misses-expecations-with-loss-as-aluminum-woes-deepen', 'https://finance.yahoo.com/news/alcoa-aa-stock-sinks-market-220010730.html', 'https://www.marketbeat.com/instant-alerts/nyse-aa-analyst-earnings-estimates-2023-03-29/', 'https://beststocks.com/alcoa-stocks-recent-transactions-and-reviews-spar/', 'https://www.investorsobserver.com/news/stock-update/should-you-buy-alcoa-corp-aa-stock-after-it-is-down-4-84-in-a-week', 'https://finance.yahoo.com/news/alcoa-aa-outpaces-stock-market-230011471.html', 'https://www.investorsobserver.com/news/stock-update/should-you-buy-alcoa-corp-aa-stock-wednesday', 'https://www.marketbeat.com/instant-alerts/nyse-aa-a-buy-or-sell-right-now-2023-03-27/', 'https://www.investorsobserver.com/news/stock-update/is-alcoa-corp-aa-stock-about-to-get-hot-monday-2', 'https://finance.yahoo.com/news/alcoa-aa-gains-market-dips-225010627.html', 'https://www.investorsobserver.com/news/stock-update/should-you-buy-alcoa-corp-aa-stock-tuesday-morning', 'https://www.investorsobserver.com/news/stock-update/should-you-buy-alcoa-corp-aa-stock-monday-3', 'https://www.investorsobserver.com/news/stock-update/alcoa-corp-aa-stock-gains-4-17-this-week-is-it-a-good-pick']","[4.719046666666666, 6.000346666666666, 5.202451, 1.119625263157895, -5.480668, 5.982625555555555, -0.21884799999999993, -4.21906, 5.0283999999999995, 0.9672711111111112, 7.2183825, -2.133088, 6.3591999999999995, -2.2328533333333334, 1.2023505882352943, -2.133088, 7.6899999999999995, 1.8836400000000002, -1.8218133333333337, 3.440246666666665]","['MSFT', 'SOFI', 'C', 'BK', 'AMZN', 'JPM', 'BAC', 'WMT', 'TSLA', 'TFC']","[2, 0, 3, 0, 0, 0, 0, 0, 0, 0]",[],[]
TAL,"['https://www.marketbeat.com/instant-alerts/nyse-tal-a-buy-or-sell-right-now-2023-03-31/', 'https://www.investorsobserver.com/news/stock-update/premarket-mover-tal-education-group-tal-down-0-60', 'https://www.businesswire.com/news/home/20230330005794/en/Shareholder-Alert-Robbins-LLP-Informs-Investors-of-Class-Action-Tal-Education-Group-TAL', 'https://beststocks.com/tal-education-group-upgraded-to-a-hold-rating-a/', 'https://www.benzinga.com/news/23/03/31537049/whats-going-on-with-new-oriental-education-and-tal-education-stock', 'https://www.fool.com/investing/2023/03/14/gaotu-new-oriental-tal-education-stocks-sell-off/', 'https://seekingalpha.com/news/3947326-tal-education-chinese-ed-tech-stocks-slump-on-crackdown-fears', 'https://www.investorsobserver.com/news/stock-update/does-tal-education-group-tal-have-what-it-takes-to-be-in-your-portfolio-thursday-3', 'https://www.marketbeat.com/instant-alerts/nyse-tal-options-data-report-2023-03-29/', 'https://beststocks.com/unusual-options-trading-activity-detected-for-tal/', 'https://www.businesswire.com/news/home/20230330005836/en/Glancy-Prongay-Murray-LLP-a-Leading-Securities-Fraud-Law-Firm-Announces-the-Filing-of-a-Securities-Class-Action-on-Behalf-of-TAL-Education-Group-TAL-Investors', 'https://www.benzinga.com/news/23/03/31245300/why-tal-education-group-shares-are-nosediving', 'https://www.fool.com/investing/2023/02/16/why-shares-of-tal-education-group-dingdong-and-gao/', 'https://www.investorsobserver.com/news/stock-update/is-tal-education-group-tal-a-good-buy-in-the-consumer-defensive-sector-2', 'https://www.investorsobserver.com/news/stock-update/tal-education-group-tal-has-risen-1-19-tuesday-in-premarket-trading', 'https://www.investorsobserver.com/news/stock-update/is-tal-education-group-tal-stock-about-to-get-hot-monday-2', 'https://www.investorsobserver.com/news/stock-update/should-you-accumulate-tal-education-group-tal-stock-tuesday-morning-2', 'https://www.investorsobserver.com/news/stock-update/should-you-hold-tal-education-group-tal-in-education-training-services-industry-2', 'https://www.investorsobserver.com/news/stock-update/tal-education-group-tal-stock-falls-2-61-this-week-is-it-a-good-pick', 'https://www.investorsobserver.com/news/stock-update/do-analysts-agree-wednesday-on-tal-education-group-tal-stocks-target-price-4']","[0.4289066666666667, -6.502312, -0.766145, 1.1899171428571427, 0.0, 0, 0, 1.030144, 0.8139672727272728, 6.1805288888888885, -0.10758999999999994, -1.9784000000000002, 0, 6.155312, 5.544853333333333, -1.0930880000000003, -0.053088, -0.12476800000000007, 6.469693333333333, -1.0632933333333336]","['SOFI', 'BABA', 'META', 'WBA']","[1, 1, 1, 1]",[],[]
